dataset,trial,layer,mode,bit_setting,bits,logit_cosine_similarity,logit_mae,logit_mse,logit_spearman,logit_top1_match,logit_top5_match,logit_top5_overlap,hidden_cosine_similarity,hidden_mae,hidden_mse,memory_bits,memory_ratio_vs_exact,prefill_seconds,decode_seconds
synthetic_replay,0,0,exact,exact,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,524288.0,1.0,0.0,0.0
synthetic_replay,0,0,key_only_random,2,2.0,0.9495428204536438,6.742995738983154,72.2609634399414,0.9561852216720581,1.0,1.0,0.675000011920929,0.9999925494194031,0.002434530295431614,2.1567415387835354e-05,282624.0,0.5390625,0.003189999988535419,0.0014847999991616234
synthetic_replay,0,0,key_only_block_so8_static,2,2.0,0.9504263401031494,6.791834354400635,70.1807861328125,0.9504848122596741,1.0,1.0,0.675000011920929,0.9999998211860657,0.00032684270991012454,2.7992950890620705e-07,282624.0,0.5390625,0.004285300004994497,0.0016925999952945858
synthetic_replay,0,0,key_only_block_so8_learned,2,2.0,0.9594609141349792,5.889800548553467,55.49306106567383,0.9596053957939148,1.0,1.0,0.625,0.9999972581863403,0.0014766498934477568,7.827789886505343e-06,282624.0,0.5390625,0.003999200009275228,0.001789200003258884
synthetic_replay,0,0,protected_v,2,2.0,0.9594609141349792,5.889800548553467,55.49306106567383,0.9596053957939148,1.0,1.0,0.625,0.9567260146141052,0.2160942405462265,0.08276794105768204,71040.0,0.135498046875,3.1258767999970587,0.002230799989774823
synthetic_replay,0,0,protected_v_lowrank,2,2.0,0.9594609141349792,5.889800548553467,55.49306106567383,0.9596053957939148,1.0,1.0,0.625,0.9618000984191895,0.20449931919574738,0.07329252362251282,79232.0,0.151123046875,0.023550400001113303,0.0020414000027813017
synthetic_replay,0,0,full_kv,2,2.0,0.9495428204536438,6.742995738983154,72.2609634399414,0.9561852216720581,1.0,1.0,0.675000011920929,0.944848358631134,0.2554304599761963,0.10473641008138657,38912.0,0.07421875,0.010567099991021678,0.0017650999943725765
synthetic_replay,0,0,key_only_random,2.5,2.5,0.9744390249252319,4.580500602722168,35.89558410644531,0.976670503616333,1.0,1.0,0.800000011920929,0.9999986886978149,0.0009623090736567974,3.4087852327502333e-06,284672.0,0.54296875,0.006609700008993968,0.002058499987469986
synthetic_replay,0,0,key_only_block_so8_static,2.5,2.5,0.974496066570282,4.732921123504639,36.6650276184082,0.9721941947937012,1.0,1.0,0.675000011920929,0.9999997615814209,0.00024197455786634237,2.182125626859488e-07,284672.0,0.54296875,0.006788300001062453,0.0034586999972816557
synthetic_replay,0,0,key_only_block_so8_learned,2.5,2.5,0.9776058197021484,4.3901238441467285,30.77776527404785,0.9714141488075256,1.0,1.0,0.7750000953674316,0.9999996423721313,0.0006282037356868386,1.1019569683412556e-06,284672.0,0.54296875,0.00572190000093542,0.00416179999592714
