dataset,mode,bit_setting,bits,metric,n,mean,std,sem,ci95_low,ci95_high,model_id,query_source
captured,exact,exact,,decode_seconds,4,0.032853724998858524,0.06273362161361,0.031366810806805,-0.06696946616179113,0.13267691615950816,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,hidden_cosine_similarity,4,1.0,0.0,0.0,1.0,1.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,hidden_mae,4,0.0,0.0,0.0,0.0,0.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,hidden_mse,4,0.0,0.0,0.0,0.0,0.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,logit_cosine_similarity,4,1.0,0.0,0.0,1.0,1.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,logit_mae,4,0.0,0.0,0.0,0.0,0.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,logit_mse,4,0.0,0.0,0.0,0.0,0.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,logit_spearman,4,1.0,0.0,0.0,1.0,1.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,logit_top1_match,4,1.0,0.0,0.0,1.0,1.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,logit_top5_match,4,1.0,0.0,0.0,1.0,1.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,logit_top5_overlap,4,1.0,0.0,0.0,1.0,1.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,memory_bits,4,598016.0,170004.56100548204,85002.28050274102,327500.8064733625,868531.1935266375,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,memory_ratio_vs_exact,4,1.0,0.0,0.0,1.0,1.0,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,peak_vram_mb,4,14.31787109375,4.068733362963718,2.034366681481859,7.843608364675781,20.79213382282422,H:\Qwen3.5-9B-official-hf,captured
captured,exact,exact,,prefill_seconds,4,0.0006395000018528663,0.0005087828134002834,0.0002543914067001417,-0.0001700869904959247,0.0014490869942016572,H:\Qwen3.5-9B-official-hf,captured
captured,full_kv,2,2.0,decode_seconds,4,0.0034153499982494395,0.0006994323490969763,0.00034971617454848815,0.0023023970506596513,0.004528302945839228,H:\Qwen3.5-9B-official-hf,captured
captured,full_kv,2,2.0,hidden_cosine_similarity,4,0.9404296875,0.006671191904921613,0.0033355959524608066,0.9298143324851719,0.9510450425148281,H:\Qwen3.5-9B-official-hf,captured
captured,full_kv,2,2.0,hidden_mae,4,0.204345703125,0.02486401768842581,0.012432008844212906,0.16478150251148027,0.24390990373851973,H:\Qwen3.5-9B-official-hf,captured
captured,full_kv,2,2.0,hidden_mse,4,0.07025146484375,0.01700169673567871,0.008500848367839355,0.04319797136374261,0.09730495832375739,H:\Qwen3.5-9B-official-hf,captured
captured,full_kv,2,2.0,logit_cosine_similarity,4,0.9970703125,0.001953125,0.0009765625,0.9939624547799963,1.0001781702200037,H:\Qwen3.5-9B-official-hf,captured
captured,full_kv,2,2.0,logit_mae,4,14.546875,0.8026242764623225,0.40131213823116124,13.269720668420737,15.824029331579263,H:\Qwen3.5-9B-official-hf,captured
captured,full_kv,2,2.0,logit_mse,4,336.0,29.43920288775949,14.719601443879744,289.15565876967617,382.84434123032383,H:\Qwen3.5-9B-official-hf,captured
captured,full_kv,2,2.0,logit_spearman,4,0.9783432632684708,0.007001199815077885,0.0035005999075389425,0.967202792026447,0.9894837345104945,H:\Qwen3.5-9B-official-hf,captured
captured,full_kv,2,2.0,logit_top1_match,4,1.0,0.0,0.0,1.0,1.0,H:\Qwen3.5-9B-official-hf,captured
captured,full_kv,2,2.0,logit_top5_match,4,1.0,0.0,0.0,1.0,1.0,H:\Qwen3.5-9B-official-hf,captured
captured,full_kv,2,2.0,logit_top5_overlap,4,0.8343750089406967,0.059839168295180815,0.029919584147590408,0.7391575389145726,0.9295924789668208,H:\Qwen3.5-9B-official-hf,captured
captured,full_kv,2,2.0,memory_bits,4,78256.0,22246.690600326754,11123.345300163377,42856.55084710017,113655.44915289983,H:\Qwen3.5-9B-official-hf,captured
captured,full_kv,2,2.0,memory_ratio_vs_exact,4,0.130859375,0.0,0.0,0.130859375,0.130859375,H:\Qwen3.5-9B-official-hf,captured
captured,full_kv,2,2.0,peak_vram_mb,4,17.69775390625,0.2639929805939869,0.13199649029699345,17.277682163393916,18.117825649106084,H:\Qwen3.5-9B-official-hf,captured
captured,full_kv,2,2.0,prefill_seconds,4,0.015417200000229059,0.0028081242130452025,0.0014040621065226013,0.010948847736937346,0.019885552263520772,H:\Qwen3.5-9B-official-hf,captured
captured,full_kv,2.5,2.5,decode_seconds,4,0.0041301250021206215,0.0014792660926357044,0.0007396330463178522,0.0017762825466006394,0.006483967457640604,H:\Qwen3.5-9B-official-hf,captured
captured,full_kv,2.5,2.5,hidden_cosine_similarity,4,0.958984375,0.00390625,0.001953125,0.9527686595599928,0.9652000904400072,H:\Qwen3.5-9B-official-hf,captured
