experiment,mode,bits,metric,trial,value
paper_mse,stage1,2.0,mse,0,0.0017872016178444028
paper_mse,stage1,3.0,mse,0,0.0005207146750763059
paper_mse,stage1,4.0,mse,0,0.00014168456254992634
paper_mse,stage1,8.0,mse,0,4.347818503447343e-06
paper_prod,stage2,2.0,bias,0,-0.003195582889020443
paper_prod,stage2,2.0,variance,0,0.008553365245461464
paper_prod,stage2,2.0,mae,0,0.07302527874708176
paper_prod,stage2,3.0,bias,0,-0.0009466215851716697
paper_prod,stage2,3.0,variance,0,0.002795575652271509
paper_prod,stage2,3.0,mae,0,0.0425012968480587
paper_prod,stage2,4.0,bias,0,-0.0006860810099169612
paper_prod,stage2,4.0,variance,0,0.0007856730953790247
paper_prod,stage2,4.0,mae,0,0.02248002588748932
paper_prod,stage2,8.0,bias,0,-2.921720442827791e-05
paper_prod,stage2,8.0,variance,0,1.9286499082227238e-05
paper_prod,stage2,8.0,mae,0,0.0035002478398382664
paper_prod_mixed,stage2_mixed,2.5,bias,0,0.0013782097958028316
paper_prod_mixed,stage2_mixed,2.5,variance,0,0.0018691102741286159
paper_prod_mixed,stage2_mixed,2.5,mae,0,0.03457087278366089
paper_prod_mixed,stage2_mixed,3.5,bias,0,0.0007288241758942604
paper_prod_mixed,stage2_mixed,3.5,variance,0,0.000523479888215661
paper_prod_mixed,stage2_mixed,3.5,mae,0,0.018261978402733803
