experiment,mode,bits,metric,n,mean,std,sem,ci95_low,ci95_high
paper_mse,stage1,2.0,mse,1,0.0017872016178444028,0.0,0.0,0.0017872016178444028,0.0017872016178444028
paper_mse,stage1,3.0,mse,1,0.0005207146750763059,0.0,0.0,0.0005207146750763059,0.0005207146750763059
paper_mse,stage1,4.0,mse,1,0.00014168456254992634,0.0,0.0,0.00014168456254992634,0.00014168456254992634
paper_mse,stage1,8.0,mse,1,4.347818503447343e-06,0.0,0.0,4.347818503447343e-06,4.347818503447343e-06
paper_prod,stage2,2.0,bias,1,-0.003195582889020443,0.0,0.0,-0.003195582889020443,-0.003195582889020443
paper_prod,stage2,2.0,mae,1,0.07302527874708176,0.0,0.0,0.07302527874708176,0.07302527874708176
paper_prod,stage2,2.0,variance,1,0.008553365245461464,0.0,0.0,0.008553365245461464,0.008553365245461464
paper_prod,stage2,3.0,bias,1,-0.0009466215851716697,0.0,0.0,-0.0009466215851716697,-0.0009466215851716697
paper_prod,stage2,3.0,mae,1,0.0425012968480587,0.0,0.0,0.0425012968480587,0.0425012968480587
paper_prod,stage2,3.0,variance,1,0.002795575652271509,0.0,0.0,0.002795575652271509,0.002795575652271509
paper_prod,stage2,4.0,bias,1,-0.0006860810099169612,0.0,0.0,-0.0006860810099169612,-0.0006860810099169612
paper_prod,stage2,4.0,mae,1,0.02248002588748932,0.0,0.0,0.02248002588748932,0.02248002588748932
paper_prod,stage2,4.0,variance,1,0.0007856730953790247,0.0,0.0,0.0007856730953790247,0.0007856730953790247
paper_prod,stage2,8.0,bias,1,-2.921720442827791e-05,0.0,0.0,-2.921720442827791e-05,-2.921720442827791e-05
paper_prod,stage2,8.0,mae,1,0.0035002478398382664,0.0,0.0,0.0035002478398382664,0.0035002478398382664
paper_prod,stage2,8.0,variance,1,1.9286499082227238e-05,0.0,0.0,1.9286499082227238e-05,1.9286499082227238e-05
paper_prod_mixed,stage2_mixed,2.5,bias,1,0.0013782097958028316,0.0,0.0,0.0013782097958028316,0.0013782097958028316
paper_prod_mixed,stage2_mixed,2.5,mae,1,0.03457087278366089,0.0,0.0,0.03457087278366089,0.03457087278366089
paper_prod_mixed,stage2_mixed,2.5,variance,1,0.0018691102741286159,0.0,0.0,0.0018691102741286159,0.0018691102741286159
paper_prod_mixed,stage2_mixed,3.5,bias,1,0.0007288241758942604,0.0,0.0,0.0007288241758942604,0.0007288241758942604
paper_prod_mixed,stage2_mixed,3.5,mae,1,0.018261978402733803,0.0,0.0,0.018261978402733803,0.018261978402733803
paper_prod_mixed,stage2_mixed,3.5,variance,1,0.000523479888215661,0.0,0.0,0.000523479888215661,0.000523479888215661
