mode,bit_setting,protected_fraction,secondary_fraction,high_bits,low_rank_rank,hidden_cosine_similarity,attention_output_relative_error,memory_ratio_vs_exact
protected_v_grid,2,0.05,0.0,4,0,0.9673284292221069,0.2574884593486786,0.267578125
protected_v_grid,2,0.05,0.0,8,0,0.9673284292221069,0.2574884593486786,0.267578125
protected_v_grid,2,0.05,0.1,4,0,0.9785208106040955,0.20924367010593414,0.275390625
protected_v_grid,2,0.05,0.1,8,0,0.9797412157058716,0.20414593815803528,0.291015625
protected_v_grid,2,0.05,0.2,4,0,0.9785208106040955,0.20924367010593414,0.275390625
protected_v_grid,2,0.05,0.2,8,0,0.9797412157058716,0.20414593815803528,0.291015625
protected_v_grid,2,0.1,0.0,4,0,0.9673284292221069,0.2574884593486786,0.267578125
protected_v_grid,2,0.1,0.0,8,0,0.9673284292221069,0.2574884593486786,0.267578125
protected_v_grid,2,0.1,0.1,4,0,0.9785208106040955,0.20924367010593414,0.275390625
protected_v_grid,2,0.1,0.1,8,0,0.9797412157058716,0.20414593815803528,0.291015625
protected_v_grid,2,0.1,0.2,4,0,0.9785208106040955,0.20924367010593414,0.275390625
protected_v_grid,2,0.1,0.2,8,0,0.9797412157058716,0.20414593815803528,0.291015625
protected_v_grid,2,0.2,0.0,4,0,0.9673284292221069,0.2574884593486786,0.267578125
protected_v_grid,2,0.2,0.0,8,0,0.9673284292221069,0.2574884593486786,0.267578125
protected_v_grid,2,0.2,0.1,4,0,0.9785208106040955,0.20924367010593414,0.275390625
protected_v_grid,2,0.2,0.1,8,0,0.9797412157058716,0.20414593815803528,0.291015625
protected_v_grid,2,0.2,0.2,4,0,0.9785208106040955,0.20924367010593414,0.275390625
protected_v_grid,2,0.2,0.2,8,0,0.9797412157058716,0.20414593815803528,0.291015625
protected_v_grid,2,0.3,0.0,4,0,0.9797330498695374,0.20404520630836487,0.392578125
protected_v_grid,2,0.3,0.0,8,0,0.9797330498695374,0.20404520630836487,0.392578125
protected_v_grid,2,0.3,0.1,4,0,0.9897246360778809,0.14370577037334442,0.400390625
protected_v_grid,2,0.3,0.1,8,0,0.990887463092804,0.1364055722951889,0.416015625
protected_v_grid,2,0.3,0.2,4,0,0.9897246360778809,0.14370577037334442,0.400390625
protected_v_grid,2,0.3,0.2,8,0,0.990887463092804,0.1364055722951889,0.416015625
protected_v_lowrank_grid,2,0.05,0.0,4,2,0.9753296375274658,0.2216349095106125,0.298828125
protected_v_lowrank_grid,2,0.05,0.0,4,4,0.9827799797058105,0.1869216114282608,0.330078125
