dataset,score_source,granularity,layer,head_index,channel_index,group_index,n,mean,std,sem,ci95_low,ci95_high
research_synthetic,attention-output-sensitivity,per-channel,0,0,0,0,1,0.5205439329147339,0.0,0.0,0.5205439329147339,0.5205439329147339
research_synthetic,attention-output-sensitivity,per-channel,0,0,1,0,1,0.6342161893844604,0.0,0.0,0.6342161893844604,0.6342161893844604
research_synthetic,attention-output-sensitivity,per-channel,0,0,2,0,1,0.5773627758026123,0.0,0.0,0.5773627758026123,0.5773627758026123
research_synthetic,attention-output-sensitivity,per-channel,0,0,3,0,1,1.0248500108718872,0.0,0.0,1.0248500108718872,1.0248500108718872
research_synthetic,attention-output-sensitivity,per-channel,0,0,4,0,1,3.1745171546936035,0.0,0.0,3.1745171546936035,3.1745171546936035
research_synthetic,attention-output-sensitivity,per-channel,0,0,5,0,1,1.2054469585418701,0.0,0.0,1.2054469585418701,1.2054469585418701
research_synthetic,attention-output-sensitivity,per-channel,0,0,6,0,1,0.5854477882385254,0.0,0.0,0.5854477882385254,0.5854477882385254
research_synthetic,attention-output-sensitivity,per-channel,0,0,7,0,1,1.6735727787017822,0.0,0.0,1.6735727787017822,1.6735727787017822
research_synthetic,attention-output-sensitivity,per-channel,0,0,8,1,1,0.4493632912635803,0.0,0.0,0.4493632912635803,0.4493632912635803
research_synthetic,attention-output-sensitivity,per-channel,0,0,9,1,1,0.8389065265655518,0.0,0.0,0.8389065265655518,0.8389065265655518
research_synthetic,attention-output-sensitivity,per-channel,0,0,10,1,1,2.152770519256592,0.0,0.0,2.152770519256592,2.152770519256592
research_synthetic,attention-output-sensitivity,per-channel,0,0,11,1,1,0.7695513367652893,0.0,0.0,0.7695513367652893,0.7695513367652893
research_synthetic,attention-output-sensitivity,per-channel,0,0,12,1,1,1.291143774986267,0.0,0.0,1.291143774986267,1.291143774986267
research_synthetic,attention-output-sensitivity,per-channel,0,0,13,1,1,2.0835909843444824,0.0,0.0,2.0835909843444824,2.0835909843444824
research_synthetic,attention-output-sensitivity,per-channel,0,0,14,1,1,2.445709228515625,0.0,0.0,2.445709228515625,2.445709228515625
research_synthetic,attention-output-sensitivity,per-channel,0,0,15,1,1,0.7574167847633362,0.0,0.0,0.7574167847633362,0.7574167847633362
research_synthetic,attention-output-sensitivity,per-channel,0,0,16,2,1,1.2312638759613037,0.0,0.0,1.2312638759613037,1.2312638759613037
research_synthetic,attention-output-sensitivity,per-channel,0,0,17,2,1,0.9587964415550232,0.0,0.0,0.9587964415550232,0.9587964415550232
research_synthetic,attention-output-sensitivity,per-channel,0,0,18,2,1,0.7052666544914246,0.0,0.0,0.7052666544914246,0.7052666544914246
research_synthetic,attention-output-sensitivity,per-channel,0,0,19,2,1,1.6609243154525757,0.0,0.0,1.6609243154525757,1.6609243154525757
research_synthetic,attention-output-sensitivity,per-channel,0,0,20,2,1,0.3314747214317322,0.0,0.0,0.3314747214317322,0.3314747214317322
research_synthetic,attention-output-sensitivity,per-channel,0,0,21,2,1,0.1561417281627655,0.0,0.0,0.1561417281627655,0.1561417281627655
research_synthetic,attention-output-sensitivity,per-channel,0,0,22,2,1,1.078306794166565,0.0,0.0,1.078306794166565,1.078306794166565
research_synthetic,attention-output-sensitivity,per-channel,0,0,23,2,1,0.35871994495391846,0.0,0.0,0.35871994495391846,0.35871994495391846
research_synthetic,attention-output-sensitivity,per-channel,0,0,24,3,1,0.91373211145401,0.0,0.0,0.91373211145401,0.91373211145401
research_synthetic,attention-output-sensitivity,per-channel,0,0,25,3,1,0.18857382237911224,0.0,0.0,0.18857382237911224,0.18857382237911224
research_synthetic,attention-output-sensitivity,per-channel,0,0,26,3,1,0.878119945526123,0.0,0.0,0.878119945526123,0.878119945526123
research_synthetic,attention-output-sensitivity,per-channel,0,0,27,3,1,1.0963042974472046,0.0,0.0,1.0963042974472046,1.0963042974472046
research_synthetic,attention-output-sensitivity,per-channel,0,0,28,3,1,1.1690834760665894,0.0,0.0,1.1690834760665894,1.1690834760665894
research_synthetic,attention-output-sensitivity,per-channel,0,0,29,3,1,0.7664076685905457,0.0,0.0,0.7664076685905457,0.7664076685905457
research_synthetic,attention-output-sensitivity,per-channel,0,0,30,3,1,0.784217357635498,0.0,0.0,0.784217357635498,0.784217357635498
research_synthetic,attention-output-sensitivity,per-channel,0,0,31,3,1,2.189833879470825,0.0,0.0,2.189833879470825,2.189833879470825
research_synthetic,attention-output-sensitivity,per-group,0,0,-1,0,1,1.174494743347168,0.0,0.0,1.174494743347168,1.174494743347168
research_synthetic,attention-output-sensitivity,per-group,0,0,-1,1,1,1.348556637763977,0.0,0.0,1.348556637763977,1.348556637763977
research_synthetic,attention-output-sensitivity,per-group,0,0,-1,2,1,0.8101118206977844,0.0,0.0,0.8101118206977844,0.8101118206977844
research_synthetic,attention-output-sensitivity,per-group,0,0,-1,3,1,0.998284101486206,0.0,0.0,0.998284101486206,0.998284101486206
research_synthetic,attention-output-sensitivity,per-head,0,0,-1,-1,1,1.0828617811203003,0.0,0.0,1.0828617811203003,1.0828617811203003
research_synthetic,attention-output-sensitivity,per-layer,0,-1,-1,-1,1,1.0828617811203003,0.0,0.0,1.0828617811203003,1.0828617811203003
research_synthetic,teacher-gradient-proxy,per-channel,0,0,0,0,1,0.13010796904563904,0.0,0.0,0.13010796904563904,0.13010796904563904
research_synthetic,teacher-gradient-proxy,per-channel,0,0,1,0,1,0.1414632499217987,0.0,0.0,0.1414632499217987,0.1414632499217987
research_synthetic,teacher-gradient-proxy,per-channel,0,0,2,0,1,0.1359424591064453,0.0,0.0,0.1359424591064453,0.1359424591064453
research_synthetic,teacher-gradient-proxy,per-channel,0,0,3,0,1,0.22477002441883087,0.0,0.0,0.22477002441883087,0.22477002441883087
research_synthetic,teacher-gradient-proxy,per-channel,0,0,4,0,1,0.6506167054176331,0.0,0.0,0.6506167054176331,0.6506167054176331
research_synthetic,teacher-gradient-proxy,per-channel,0,0,5,0,1,0.2986157238483429,0.0,0.0,0.2986157238483429,0.2986157238483429
research_synthetic,teacher-gradient-proxy,per-channel,0,0,6,0,1,0.14132362604141235,0.0,0.0,0.14132362604141235,0.14132362604141235
research_synthetic,teacher-gradient-proxy,per-channel,0,0,7,0,1,0.3965229094028473,0.0,0.0,0.3965229094028473,0.3965229094028473
research_synthetic,teacher-gradient-proxy,per-channel,0,0,8,1,1,0.07362966984510422,0.0,0.0,0.07362966984510422,0.07362966984510422
research_synthetic,teacher-gradient-proxy,per-channel,0,0,9,1,1,0.2038756012916565,0.0,0.0,0.2038756012916565,0.2038756012916565
research_synthetic,teacher-gradient-proxy,per-channel,0,0,10,1,1,0.5094608664512634,0.0,0.0,0.5094608664512634,0.5094608664512634
research_synthetic,teacher-gradient-proxy,per-channel,0,0,11,1,1,0.1469469964504242,0.0,0.0,0.1469469964504242,0.1469469964504242
research_synthetic,teacher-gradient-proxy,per-channel,0,0,12,1,1,0.22387497127056122,0.0,0.0,0.22387497127056122,0.22387497127056122
research_synthetic,teacher-gradient-proxy,per-channel,0,0,13,1,1,0.4956304430961609,0.0,0.0,0.4956304430961609,0.4956304430961609
research_synthetic,teacher-gradient-proxy,per-channel,0,0,14,1,1,0.5553011298179626,0.0,0.0,0.5553011298179626,0.5553011298179626
research_synthetic,teacher-gradient-proxy,per-channel,0,0,15,1,1,0.17827333509922028,0.0,0.0,0.17827333509922028,0.17827333509922028
research_synthetic,teacher-gradient-proxy,per-channel,0,0,16,2,1,0.24546754360198975,0.0,0.0,0.24546754360198975,0.24546754360198975
research_synthetic,teacher-gradient-proxy,per-channel,0,0,17,2,1,0.19458507001399994,0.0,0.0,0.19458507001399994,0.19458507001399994
research_synthetic,teacher-gradient-proxy,per-channel,0,0,18,2,1,0.16794832050800323,0.0,0.0,0.16794832050800323,0.16794832050800323
research_synthetic,teacher-gradient-proxy,per-channel,0,0,19,2,1,0.3927524983882904,0.0,0.0,0.3927524983882904,0.3927524983882904
research_synthetic,teacher-gradient-proxy,per-channel,0,0,20,2,1,0.06893031299114227,0.0,0.0,0.06893031299114227,0.06893031299114227
research_synthetic,teacher-gradient-proxy,per-channel,0,0,21,2,1,0.028772709891200066,0.0,0.0,0.028772709891200066,0.028772709891200066
research_synthetic,teacher-gradient-proxy,per-channel,0,0,22,2,1,0.22177231311798096,0.0,0.0,0.22177231311798096,0.22177231311798096
research_synthetic,teacher-gradient-proxy,per-channel,0,0,23,2,1,0.06604950875043869,0.0,0.0,0.06604950875043869,0.06604950875043869
research_synthetic,teacher-gradient-proxy,per-channel,0,0,24,3,1,0.1686164289712906,0.0,0.0,0.1686164289712906,0.1686164289712906
research_synthetic,teacher-gradient-proxy,per-channel,0,0,25,3,1,0.033240340650081635,0.0,0.0,0.033240340650081635,0.033240340650081635
research_synthetic,teacher-gradient-proxy,per-channel,0,0,26,3,1,0.212156280875206,0.0,0.0,0.212156280875206,0.212156280875206
research_synthetic,teacher-gradient-proxy,per-channel,0,0,27,3,1,0.2670776844024658,0.0,0.0,0.2670776844024658,0.2670776844024658
research_synthetic,teacher-gradient-proxy,per-channel,0,0,28,3,1,0.2565687894821167,0.0,0.0,0.2565687894821167,0.2565687894821167
research_synthetic,teacher-gradient-proxy,per-channel,0,0,29,3,1,0.145819753408432,0.0,0.0,0.145819753408432,0.145819753408432
research_synthetic,teacher-gradient-proxy,per-channel,0,0,30,3,1,0.13492433726787567,0.0,0.0,0.13492433726787567,0.13492433726787567
research_synthetic,teacher-gradient-proxy,per-channel,0,0,31,3,1,0.41085779666900635,0.0,0.0,0.41085779666900635,0.41085779666900635
research_synthetic,teacher-gradient-proxy,per-group,0,0,-1,0,1,0.26492032408714294,0.0,0.0,0.26492032408714294,0.26492032408714294
research_synthetic,teacher-gradient-proxy,per-group,0,0,-1,1,1,0.29837414622306824,0.0,0.0,0.29837414622306824,0.29837414622306824
research_synthetic,teacher-gradient-proxy,per-group,0,0,-1,2,1,0.17328476905822754,0.0,0.0,0.17328476905822754,0.17328476905822754
research_synthetic,teacher-gradient-proxy,per-group,0,0,-1,3,1,0.20365767180919647,0.0,0.0,0.20365767180919647,0.20365767180919647
research_synthetic,teacher-gradient-proxy,per-head,0,0,-1,-1,1,0.2350592315196991,0.0,0.0,0.2350592315196991,0.2350592315196991
research_synthetic,teacher-gradient-proxy,per-layer,0,-1,-1,-1,1,0.2350592315196991,0.0,0.0,0.2350592315196991,0.2350592315196991
