dataset,trial,layer,mode,bit_setting,bits,logit_cosine_similarity,logit_mae,logit_mse,next_logit_kl,logit_spearman,logit_top1_match,logit_top5_match,logit_top5_overlap,hidden_cosine_similarity,hidden_mae,hidden_mse,attention_output_relative_error,memory_bits,memory_ratio_vs_exact,prefill_seconds,decode_seconds,peak_vram_mb,key_mode,value_mode,value_rotation_policy,rotation_seed,qjl_seed,protected_fraction,secondary_fraction,high_bits,low_bits,low_rank_rank,memory_ratio_approx
research_synthetic,0,0,protected_v_grid,2,2.0,0.9890609383583069,1.189785361289978,2.129945993423462,-1.9272885509735715e-08,0.9901209473609924,1.0,1.0,0.949999988079071,0.9673284292221069,0.16512049734592438,0.049017347395420074,0.2574884593486786,8768.0,0.267578125,0.002790999991702847,0.002030400006333366,0.0,key_only_block_so8_learned,protected,block_so8_learned,20271,20313,0.05,0.0,4,2,0,0.165234375
research_synthetic,0,0,protected_v_lowrank_grid,2,2.0,0.9890609383583069,1.189785361289978,2.129945993423462,-1.9272885509735715e-08,0.9901209473609924,1.0,1.0,0.949999988079071,0.9753296375274658,0.14074252545833588,0.036317043006420135,0.2216349095106125,9792.0,0.298828125,0.004945499997120351,0.0009140000038314611,0.0,key_only_block_so8_learned,protected,block_so8_learned,20271,20313,0.05,0.0,4,2,2,0.165234375
research_synthetic,0,0,protected_v_lowrank_grid,2,2.0,0.9890609383583069,1.189785361289978,2.129945993423462,-1.9272885509735715e-08,0.9901209473609924,1.0,1.0,0.949999988079071,0.9827799797058105,0.11817367374897003,0.025831714272499084,0.1869216114282608,10816.0,0.330078125,0.004952899995259941,0.0008545000018784776,0.0,key_only_block_so8_learned,protected,block_so8_learned,20271,20313,0.05,0.0,4,2,4,0.165234375
research_synthetic,0,0,protected_v_lowrank_grid,2,2.0,0.9890609383583069,1.189785361289978,2.129945993423462,-1.9272885509735715e-08,0.9901209473609924,1.0,1.0,0.949999988079071,0.9911803603172302,0.07698372006416321,0.0136899184435606,0.13607656955718994,12864.0,0.392578125,0.0044071000011172146,0.0008459000091534108,0.0,key_only_block_so8_learned,protected,block_so8_learned,20271,20313,0.05,0.0,4,2,8,0.165234375
research_synthetic,0,0,protected_v_grid,2,2.0,0.9890609383583069,1.189785361289978,2.129945993423462,-1.9272885509735715e-08,0.9901209473609924,1.0,1.0,0.949999988079071,0.9785208106040955,0.12369404733181,0.032369717955589294,0.20924367010593414,9024.0,0.275390625,0.0063310000114142895,0.000763299991376698,0.0,key_only_block_so8_learned,protected,block_so8_learned,20271,20313,0.05,0.1,4,2,0,0.16835937499999998
research_synthetic,0,0,protected_v_lowrank_grid,2,2.0,0.9890609383583069,1.189785361289978,2.129945993423462,-1.9272885509735715e-08,0.9901209473609924,1.0,1.0,0.949999988079071,0.984558641910553,0.10203114151954651,0.022866055369377136,0.17586462199687958,10048.0,0.306640625,0.004962000006344169,0.0006570999976247549,0.0,key_only_block_so8_learned,protected,block_so8_learned,20271,20313,0.05,0.1,4,2,2,0.16835937499999998
research_synthetic,0,0,protected_v_lowrank_grid,2,2.0,0.9890609383583069,1.189785361289978,2.129945993423462,-1.9272885509735715e-08,0.9901209473609924,1.0,1.0,0.949999988079071,0.98982173204422,0.084749236702919,0.015129836276173592,0.14305399358272552,11072.0,0.337890625,0.005063800010248087,0.0005395000043790787,0.0,key_only_block_so8_learned,protected,block_so8_learned,20271,20313,0.05,0.1,4,2,4,0.16835937499999998
research_synthetic,0,0,protected_v_lowrank_grid,2,2.0,0.9890609383583069,1.189785361289978,2.129945993423462,-1.9272885509735715e-08,0.9901209473609924,1.0,1.0,0.949999988079071,0.9958092570304871,0.056558508425951004,0.006191567052155733,0.09151308238506317,13120.0,0.400390625,0.004263099996023811,0.0007012999994913116,0.0,key_only_block_so8_learned,protected,block_so8_learned,20271,20313,0.05,0.1,4,2,8,0.16835937499999998
research_synthetic,0,0,protected_v_grid,2,2.0,0.9890609383583069,1.189785361289978,2.129945993423462,-1.9272885509735715e-08,0.9901209473609924,1.0,1.0,0.949999988079071,0.9785208106040955,0.12369404733181,0.032369717955589294,0.20924367010593414,9024.0,0.275390625,0.0037357000110205263,0.0005744999943999574,0.0,key_only_block_so8_learned,protected,block_so8_learned,20271,20313,0.05,0.2,4,2,0,0.171484375
research_synthetic,0,0,protected_v_lowrank_grid,2,2.0,0.9890609383583069,1.189785361289978,2.129945993423462,-1.9272885509735715e-08,0.9901209473609924,1.0,1.0,0.949999988079071,0.984558641910553,0.10203114151954651,0.022866055369377136,0.17586462199687958,10048.0,0.306640625,0.006782700002077036,0.000534699996933341,0.0,key_only_block_so8_learned,protected,block_so8_learned,20271,20313,0.05,0.2,4,2,2,0.171484375
