dataset,trial,layer,score_source,granularity,head_index,channel_index,group_index,score
research_synthetic,0,0,attention-output-sensitivity,per-layer,-1,-1,-1,1.0828617811203003
research_synthetic,0,0,attention-output-sensitivity,per-head,0,-1,-1,1.0828617811203003
research_synthetic,0,0,attention-output-sensitivity,per-group,0,-1,0,1.174494743347168
research_synthetic,0,0,attention-output-sensitivity,per-group,0,-1,1,1.348556637763977
research_synthetic,0,0,attention-output-sensitivity,per-group,0,-1,2,0.8101118206977844
research_synthetic,0,0,attention-output-sensitivity,per-group,0,-1,3,0.998284101486206
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,0,0,0.5205439329147339
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,1,0,0.6342161893844604
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,2,0,0.5773627758026123
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,3,0,1.0248500108718872
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,4,0,3.1745171546936035
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,5,0,1.2054469585418701
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,6,0,0.5854477882385254
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,7,0,1.6735727787017822
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,8,1,0.4493632912635803
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,9,1,0.8389065265655518
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,10,1,2.152770519256592
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,11,1,0.7695513367652893
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,12,1,1.291143774986267
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,13,1,2.0835909843444824
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,14,1,2.445709228515625
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,15,1,0.7574167847633362
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,16,2,1.2312638759613037
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,17,2,0.9587964415550232
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,18,2,0.7052666544914246
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,19,2,1.6609243154525757
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,20,2,0.3314747214317322
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,21,2,0.1561417281627655
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,22,2,1.078306794166565
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,23,2,0.35871994495391846
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,24,3,0.91373211145401
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,25,3,0.18857382237911224
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,26,3,0.878119945526123
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,27,3,1.0963042974472046
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,28,3,1.1690834760665894
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,29,3,0.7664076685905457
research_synthetic,0,0,attention-output-sensitivity,per-channel,0,30,3,0.784217357635498
